len,uniqs
82,40
33,26
12,12
52,39
111,79
3,3
21,21
14,14
8,8
19,19
6,6
50,29
9,9
6,5
7,7
11,11
22,22
23,23
8,8
18,18
25,25
23,18
12,12
9,9
14,13
3,3
12,12
13,7
40,33
46,40
12,12
5,5
112,81
6,6
17,15
89,56
10,10
8,8
34,27
6,6
24,24
30,27
27,26
141,117
53,38
5,5
23,23
21,21
104,74
14,14
20,15
8,8
4,4
10,10
47,41
14,10
68,45
255,126
6,6
28,28
45,36
7,6
14,14
26,26
15,15
15,15
27,23
17,15
8,8
16,16
53,53
6,6
10,10
2,2
2,2
10,10
27,26
52,39
26,21
28,26
16,16
11,11
13,13
9,9
21,17
54,46
4,4
44,40
17,15
13,13
19,18
15,15
19,16
2,2
19,19
4,4
24,24
96,67
2,2
20,19
19,19
125,63
49,48
16,16
101,62
7,7
13,13
58,49
5,5
55,38
10,10
15,14
27,21
62,49
17,13
43,43
4,4
29,24
9,9
5,5
19,17
4,4
53,52
30,26
17,17
1,1
13,13
6,6
74,62
10,10
9,9
44,33
21,20
6,6
16,14
10,10
3,3
2,2
5,5
28,26
6,6
28,22
29,28
11,11
4,4
52,44
31,26
31,25
20,17
31,23
9,9
6,6
168,79
44,30
5,5
36,22
66,40
53,52
139,117
41,41
7,7
8,8
209,133
5,5
1,1
86,57
30,22
5,5
13,13
58,49
7,7
5,5
21,21
30,30
131,92
123,84
122,79
23,23
159,99
15,15
32,32
4,4
42,37
190,88
159,82
7,7
45,35
7,7
6,6
9,9
261,116
33,32
17,17
5,5
3,3
6,6
38,38
9,9
33,32
19,16
30,29
7,7
31,31
26,23
2,2
11,11
13,13
12,12
9,9
65,47
21,21
36,27
76,65
21,21
16,16
19,19
12,12
44,31
54,45
11,11
2,2
5,5
2,2
4,4
10,10
6,6
15,15
3,3
19,15
2,2
48,38
1,1
29,29
38,32
27,25
52,39
20,16
36,33
18,17
5,5
10,10
14,13
15,15
60,35
8,8
9,9
11,11
27,27
61,55
73,56
117,82
28,24
5,5
16,15
8,8
27,27
29,25
4,4
23,23
11,11
6,6
4,4
8,8
79,54
4,4
3,3
134,100
3,3
13,11
10,10
4,4
71,24
1,1
19,19
14,14
12,12
9,9
38,37
14,14
11,11
2,2
8,8
10,6
6,6
4,4
11,11
13,13
76,56
16,14
5,5
10,10
19,17
15,15
11,11
18,18
3,3
16,16
9,9
84,55
19,16
1,1
36,36
18,18
13,13
14,11
13,13
4,4
110,50
7,7
51,35
31,24
40,32
6,6
5,5
16,16
21,21
1,1
14,14
8,8
10,10
17,17
30,21
12,12
11,11
17,17
7,7
19,15
79,49
10,10
6,6
66,47
4,4
9,9
2,2
112,74
135,78
8,8
27,27
33,33
24,19
45,37
4,4
28,28
20,19
24,20
37,31
53,42
4,4
36,29
11,11
189,138
10,10
45,32
94,53
7,7
22,22
36,24
27,21
7,7
163,84
52,39
64,49
24,24
7,7
12,10
30,26
39,28
23,23
2,2
15,15
13,13
8,8
3,3
4,4
47,29
15,15
4,4
9,9
55,51
28,28
92,76
323,137
10,9
5,4
37,37
73,60
6,6
28,16
28,28
6,6
10,10
4,4
61,45
9,9
17,17
26,20
8,8
37,22
5,5
5,5
66,56
9,9
23,19
13,13
53,48
8,8
115,82
50,34
7,7
9,9
43,25
13,13
10,10
32,25
46,41
33,23
4,4
53,48
106,73
10,10
4,4
3,3
3,3
107,74
11,11
7,7
36,24
96,67
14,14
5,5
32,26
141,113
39,35
20,15
16,16
5,5
48,41
54,54
4,4
22,22
14,14
4,4
6,4
13,13
8,8
44,38
18,18
20,20
21,21
2,2
2,2
73,50
4,4
46,46
6,6
17,17
36,34
14,11
6,6
15,14
21,16
9,9
3,3
6,6
10,10
56,53
93,67
10,10
10,10
20,20
31,31
21,16
6,6
9,9
58,43
5,5
7,7
231,154
14,14
7,7
33,31
18,18
23,21
7,7
1,1
185,91
3,3
3,3
170,99
35,29
19,17
31,20
4,4
6,6
18,18
59,49
3,3
4,4
21,21
5,5
13,13
26,21
35,28
5,5
33,30
6,6
5,5
18,13
18,18
13,13
3,3
17,17
3,3
53,45
105,86
18,18
4,4
31,31
15,15
10,10
15,15
136,58
6,6
8,8
15,15
23,16
21,21
28,28
15,15
32,26
4,4
25,18
27,27
4,4
7,7
15,15
25,25
4,4
33,33
14,14
59,45
4,4
34,31
16,16
11,11
39,34
13,13
12,12
42,38
30,22
7,7
8,8
69,44
42,41
1,1
56,45
72,50
22,20
18,18
23,23
5,5
46,39
9,9
102,72
19,15
28,25
5,5
19,19
9,9
39,26
6,5
2,2
31,28
14,13
17,17
27,25
5,5
3,3
16,16
151,90
33,25
3,3
15,15
53,38
9,9
2,2
23,22
65,36
12,12
3,3
53,37
12,12
58,37
6,6
4,4
12,12
1439,336
1,1
6,6
11,11
64,38
101,68
101,45
24,24
7,7
9,7
16,16
7,7
5,5
9,9
20,16
7,7
40,31
10,10
44,42
10,10
5,5
21,20
18,17
29,28
39,26
7,7
26,26
12,12
1,1
6,6
5,5
5,5
17,17
25,22
14,14
20,20
12,12
23,18
70,50
31,26
6,6
10,10
1,1
3,3
117,68
14,14
200,121
87,59
8,8
2,2
20,20
26,26
28,28
46,40
6,6
4,4
25,25
23,23
23,23
12,11
7,7
11,11
21,12
143,70
156,91
22,22
16,16
13,13
32,22
13,12
2,2
12,12
81,48
8,8
1,1
26,20
13,13
17,16
24,18
44,41
6,6
18,18
52,42
31,25
14,14
7,7
59,43
28,21
14,14
396,174
49,40
9,9
1,1
17,17
11,11
6,6
13,13
16,16
7,7
4,4
46,38
5,5
41,35
14,14
19,19
7,7
9,9
15,14
2,2
12,12
13,13
16,15
9,9
23,21
41,30
37,30
12,12
3,3
10,10
35,35
17,17
10,10
21,15
24,24
17,17
24,24
12,12
9,9
3,3
53,42
98,78
10,10
35,27
9,9
10,10
8,8
17,17
2,2
14,11
37,37
71,52
10,10
25,22
21,19
14,14
19,18
10,10
73,48
11,11
21,18
15,15
5,5
17,15
41,35
12,12
8,8
20,20
3,3
17,16
1,1
12,12
12,12
35,22
110,75
20,14
147,96
4,4
8,7
32,26
29,23
5,5
26,21
25,25
19,19
6,6
21,12
66,34
93,68
4,4
30,30
6,6
4,3
65,40
18,18
15,9
4,4
38,38
35,25
64,54
62,39
10,7
35,30
3,3
9,9
16,16
62,62
22,22
25,22
13,13
8,8
116,73
55,36
5,5
2,2
26,20
13,13
24,24
10,10
17,17
14,14
15,11
22,17
50,46
16,15
7,7
5,5
35,25
234,45
4,4
19,19
16,13
28,23
56,40
22,22
10,9
13,13
10,10
15,15
5,5
35,21
5,5
15,15
121,66
5,5
17,17
52,39
25,24
6,6
15,15
15,10
14,13
71,39
26,21
6,6
100,64
18,12
8,8
52,31
6,6
1,1
18,15
1,1
38,30
27,23
13,13
6,6
4,4
95,70
7,7
63,52
26,21
12,8
84,50
130,72
4,4
7,7
17,16
2,2
12,12
1,1
2,2
77,60
7,7
43,33
38,38
40,39
46,37
10,8
177,100
8,8
3,3
23,23
52,41
84,58
21,21
325,163
11,11
27,27
4,4
7,7
1,1
23,23
5,5
6,6
4,4
444,209
5,5
25,25
6,6
25,25
23,23
231,119
8,5
15,15
11,11
35,31
8,8
11,11
17,17
1,1
1,1
6,6
16,16
62,57
30,30
28,23
3,3
6,6
115,97
2,2
105,67
3,3
17,16
8,8
7,4
27,19
102,57
27,27
8,8
16,16
5,5
23,23
21,20
5,5
27,22
22,22
46,38
3,3
5,4
14,11
12,12
6,6
166,117
9,9
14,14
3,3
22,17
4,4
53,39
29,29
7,6
94,48
8,8
15,14
20,20
13,13
7,4
131,73
9,9
5,5
10,10
5,5
23,23
6,6
7,5
2,2
16,13
6,6
3,3
9,9
241,126
8,8
44,31
3,3
15,15
17,17
2,2
7,7
1,1
7,7
87,67
8,8
9,9
3,3
19,19
9,9
15,15
27,27
32,21
12,12
7,7
8,8
61,52
7,7
2,2
17,15
7,7
82,68
20,20
73,55
89,61
11,11
18,18
312,163
12,12
15,15
19,19
16,16
24,21
16,16
109,83
7,7
206,118
16,16
17,15
15,15
12,12
17,17
12,12
15,15
12,12
490,213
124,95
1,1
8,8
14,14
10,10
25,22
28,28
11,11
41,37
45,31
6,5
14,14
221,113
46,33
39,29
34,24
24,19
10,10
102,71
38,24
14,14
2,2
61,39
3,3
182,113
7,7
10,7
16,16
15,13
52,49
36,26
17,17
24,24
14,12
55,50
15,15
17,15
104,71
47,45
9,9
8,8
5,5
30,25
35,29
36,32
42,42
74,54
6,6
20,19
22,22
18,14
7,7
29,19
33,26
9,7
12,12
12,12
16,14
1,1
49,37
18,17
55,44
3,3
110,52
26,26
13,12
13,13
2,2
17,16
3,3
10,10
23,20
65,45
2,2
39,30
13,10
10,10
10,10
4,4
48,36
32,20
116,92
2,2
7,7
34,28
363,105
11,11
9,9
58,45
10,10
8,8
13,13
2,2
57,42
3,3
40,39
15,15
20,20
43,31
20,20
10,9
19,17
47,33
50,41
48,39
19,19
22,22
7,7
14,14
43,30
17,13
5,5
5,5
22,16
4,4
37,33
41,22
2,2
16,16
45,38
30,30
24,24
38,28
95,67
116,77
3,3
118,68
123,55
13,13
9,9
5,5
22,22
29,25
12,12
37,35
14,14
4,4
15,15
26,24
31,29
14,14
9,9
10,10
74,46
112,69
5,5
1,1
60,52
63,52
115,84
18,18
44,34
4,4
17,16
110,84
37,36
219,152
3,3
14,14
9,9
4,4
18,18
37,34
12,11
