len,uniqs
293,166
3554,398
50,44
934,262
228,112
6795,316
91,72
604,180
195,116
118,72
30,24
12054,687
286,102
480,186
1071,270
49,40
626,210
15135,643
61,49
1679,355
72,53
872,268
668,169
566,194
492,127
2629,326
2133,411
4456,366
8525,736
1091,195
37562,1230
22204,1060
1358,229
30257,1081
12941,590
218,76
209,48
10298,765
4128,346
5686,394
2776,381
196,98
42383,1330
486,103
9279,588
9044,339
2792,273
10511,477
6570,354
893,173
33734,1247
11936,550
449,206
18186,655
5793,434
689,145
76,53
490,172
172,85
11888,814
518,134
1741,352
9256,600
1239,193
3200,401
4398,523
9429,541
1703,131
2196,156
1582,126
39630,1269
46,13
2527,196
483,162
2889,299
63,43
809,140
366,73
2883,349
3515,141
1241,252
475,151
1043,226
11899,704
2867,201
10292,732
7799,620
225,143
48,38
2161,266
807,172
970,285
12044,877
21070,851
2799,312
2638,216
4953,502
2721,370
10927,508
15799,721
5822,416
3310,381
7810,490
2405,311
5943,321
11809,666
7824,396
7666,531
28415,1056
12821,906
415,183
35,21
479,231
802,226
185,139
14914,856
1284,341
1206,309
3246,410
477,82
4677,538
21601,1014
23,17
1969,319
980,242
104,80
13898,1019
15982,753
626,185
37889,1116
3051,453
3778,268
9480,493
47,46
23609,871
2559,394
489,151
6788,303
1437,236
8596,539
439,157
3479,481
10370,689
317,128
47,38
110,59
11141,321
11280,727
864,144
14212,896
30260,1294
3525,344
1142,228
2349,375
10140,758
387,147
3306,576
28451,805
271,174
4912,539
6274,402
1329,122
1845,370
1696,259
2633,300
9352,664
24537,1191
701,192
6975,459
10117,567
16591,1199
757,173
15617,763
112,93
227,147
308,98
57,47
79,64
9637,545
6807,479
2838,296
14632,642
2649,355
58,47
252,135
9143,496
17231,775
3188,438
6863,509
6831,422
7001,270
7504,482
366,79
337,157
12,10
10,9
6512,345
719,189
66,47
4808,504
5064,648
2331,374
4783,469
3284,321
3828,390
21423,802
547,222
5460,352
1639,280
4036,559
12585,1006
27291,792
5919,512
843,228
16557,796
596,93
447,118
1265,261
109,66
465,179
2506,319
71,44
4873,513
5478,402
257,119
2726,272
21,12
784,150
75,36
4495,485
4062,447
1879,234
455,166
5961,380
203,127
2824,260
14019,727
1695,190
3338,331
16427,826
648,225
156,104
870,149
8541,391
108,95
14,11
1935,385
37389,1453
3902,304
18,11
14059,751
195,122
12217,727
7219,486
9854,786
10404,433
1895,242
1198,210
53,43
15731,969
14,12
9393,687
1187,255
136,99
451,173
2253,409
2491,185
266,82
457,179
4230,418
282,135
812,112
2089,219
1910,312
101,50
6298,524
8675,665
7466,799
1323,284
170,79
1025,222
3854,254
4982,360
438,173
2079,395
7530,592
4185,310
260,98
508,178
1904,268
7510,552
3722,368
3951,285
228,119
5714,425
8278,698
24,20
2354,438
22348,994
7733,470
91,73
880,204
61,48
14252,609
443,188
9890,451
1045,209
8154,706
8458,705
4103,347
1911,370
7765,672
5182,554
3649,498
18333,1265
1735,295
359,147
6270,576
283,92
148,75
897,214
1175,235
3617,355
43,40
13635,794
101,61
298,136
2020,334
1090,199
1425,279
19152,932
5413,263
7790,516
339,147
1451,309
769,227
17919,897
714,254
10056,880
5844,491
9005,529
55,40
15370,784
8189,299
7245,552
1233,177
628,219
3459,417
1724,332
3468,503
5118,307
2337,234
2834,374
7240,692
3545,374
1288,374
12211,707
58396,987
3486,285
58,13
1324,220
3306,324
104,79
7047,554
1118,287
1503,272
1541,281
1859,303
7664,621
852,260
2273,349
2386,286
177,88
1606,251
195,93
12257,939
2208,358
16984,730
2314,434
2491,204
3345,373
3168,173
2204,256
11188,865
520,198
6563,431
210,130
4276,297
1277,194
600,186
64,60
373,191
1492,287
1821,366
1102,264
27075,1071
779,216
22911,1093
148,126
45,39
11620,809
15948,849
2044,358
239,143
353,154
345,184
3137,434
616,208
35730,1373
326,104
1337,216
1055,199
1925,210
173,69
1879,266
5000,515
202,113
3374,173
655,134
2529,355
277,127
1027,268
3179,543
8697,449
715,172
455,182
47,27
7658,386
3893,215
16025,769
1179,216
58,52
1331,190
10158,473
4557,408
75,57
2187,434
2799,277
1885,424
154,68
5757,401
7986,718
4842,387
1904,375
407,165
427,152
307,103
101,94
2262,220
14397,963
2470,401
888,265
1130,117
2505,223
45907,1561
1115,220
21,16
11487,755
8371,757
2762,434
7104,776
107,56
6508,521
7108,498
13602,734
3714,374
2305,309
6591,644
539,214
914,213
1156,268
13278,452
10527,661
948,268
3598,422
2449,319
12221,922
212,73
243,156
162,67
7875,531
2141,324
52,43
4881,319
49,44
11785,658
12463,619
10896,865
6175,541
1106,211
761,100
1723,324
13118,708
21253,1201
13369,541
230,116
5731,605
673,205
13250,1020
1289,256
3790,589
3175,302
38,29
74,45
302,163
925,204
10953,695
22358,1422
1549,330
14,9
1000,291
384,161
935,239
485,163
723,115
1641,172
1306,178
328,131
2748,367
4450,544
5169,381
7262,572
12137,837
393,137
597,164
624,177
274,102
36,33
22036,1283
2372,432
19002,959
1412,202
48,46
728,261
77,44
4343,451
4958,561
3691,261
2232,372
877,266
2880,248
4800,401
874,203
87390,2235
23851,1029
793,283
861,173
3436,377
17103,572
13363,541
316,131
2291,395
3631,424
2094,398
319,146
569,161
8670,747
1063,222
7011,531
14195,505
2099,391
25,18
19409,903
262,67
15880,678
3673,445
1736,233
4101,326
161,134
140,112
418,153
1115,273
3944,426
4512,506
1618,321
7637,611
42,37
17738,1160
114,87
161,66
5323,402
29957,1264
7129,385
7667,433
22120,1031
2584,370
4660,582
1354,290
84,63
5974,354
18,10
257,116
5824,583
13072,309
51908,1306
2879,289
277,142
1185,158
10306,726
2718,332
2706,442
49,42
3021,435
42630,1678
122,93
3983,220
2047,258
1613,139
7594,474
31038,977
1995,325
12503,327
74,46
2846,410
1548,223
14,11
42120,1672
221,146
132,58
11285,772
924,260
20704,1106
1222,341
10980,808
4242,547
618,188
4623,437
124,96
10795,818
32910,1356
3385,542
65,34
1745,357
4485,384
2210,184
5494,284
19836,501
895,206
2430,299
34379,1018
932,175
5199,616
5519,540
15973,487
1017,220
5171,459
204,86
4201,583
7350,505
16,13
6011,410
169,58
25485,1244
3565,542
11363,705
20804,874
44,39
142,64
161,112
5911,419
19975,743
1525,198
2022,368
36323,859
19368,880
19148,833
21225,829
1427,363
3937,414
440,172
1260,134
9715,773
668,174
4638,429
604,191
3747,264
992,282
1249,234
5315,314
8141,378
4401,252
3019,339
595,197
6380,528
14414,850
2659,394
246,144
1139,193
16260,584
3014,346
5977,324
5327,642
3270,466
980,236
1501,159
10159,502
710,132
237,128
30510,1599
1459,271
5943,385
493,186
1844,250
2350,334
16,9
100,64
523,213
3476,216
94895,1619
618,252
7523,444
1449,136
20553,466
3036,230
1069,126
4728,635
749,164
129,100
22971,761
31,24
42579,1487
1207,209
2633,376
7651,565
436,86
6869,463
799,130
22398,482
239,79
37733,1158
1236,224
1274,238
14026,794
459,181
16,11
539,209
8043,697
1355,219
614,146
16,7
15422,949
338,143
5045,495
60,35
2658,355
1319,200
69,34
3057,327
5797,592
3818,512
738,172
5125,487
12497,1001
1452,276
234,130
18461,881
155,81
2668,314
13445,924
32764,1106
628,117
28,11
1141,242
216,118
1081,215
6969,490
2274,210
1145,249
7881,478
322,109
228,130
486,156
9976,407
709,190
950,263
3070,278
18067,715
5574,450
228,98
4987,288
4829,383
791,217
5447,597
4169,413
161,97
2408,204
1583,142
1215,386
28,18
17891,1236
1480,334
2427,281
47,39
2040,249
302,108
12034,789
12293,563
226,135
1220,255
8379,549
857,149
13396,543
468,168
127,74
828,238
220,153
21518,1105
5910,465
6095,557
16675,700
58,34
116,101
1805,331
3520,403
559,207
393,111
1716,200
829,148
67,46
266,134
1793,228
743,222
3010,402
1085,279
1061,257
5793,505
528,198
8118,802
265,161
8450,346
962,238
15653,1040
1377,362
431,108
1751,198
7996,579
2365,240
3565,537
22,12
34368,992
10067,779
1624,258
403,131
3030,311
1481,280
717,152
12434,411
1520,385
31997,851
2010,136
4770,420
4140,386
30378,1296
12360,500
17462,660
783,216
5400,423
81,58
570,182
43,32
5924,544
61045,1756
16090,684
469,144
4787,251
10057,536
10,9
591,180
11564,557
48,31
22474,849
1242,293
2994,185
2792,326
879,214
9255,463
16330,976
8313,837
268,144
3827,400
18663,855
1320,289
21008,1038
2045,368
587,148
1307,274
2291,294
122,107
3623,320
10974,591
11330,777
2990,601
784,211
37,30
1027,207
1657,328
1261,345
47407,1444
14319,890
16289,836
222,119
816,181
14225,679
2532,304
1134,247
442,177
11309,689
2127,303
1616,373
6766,478
2918,282
256,85
3498,399
3963,321
526,151
11525,793
1177,303
14393,760
24274,1144
4908,421
669,173
371,110
53170,2156
2092,225
4475,418
5504,432
11440,654
2546,456
31972,679
3041,365
189,126
12854,493
10163,677
848,238
732,197
13745,525
580,159
19257,757
633,224
615,96
99,76
25202,716
4508,457
1322,309
512,155
904,269
268,132
14099,785
4380,500
964,235
11645,702
2670,239
8399,614
1781,141
1865,300
75,46
20011,784
3677,389
15608,736
13123,377
3033,300
2831,444
11642,353
2100,338
5027,471
5356,344
119,105
5060,420
585,232
228,91
2522,539
495,89
1157,296
4306,524
723,202
115,48
1745,393
1893,226
1223,299
2670,341
24289,1043
22776,1010
14366,764
507,219
2143,127
862,141
130,66
15237,384
3691,319
996,280
9591,742
244,152
11052,543
2802,293
14809,716
3243,419
1306,257
4528,402
2269,230
13,12
11015,695
2420,431
1605,293
800,188
2547,416
2368,421
193,49
255,138
1212,240
56,40
7121,686
1016,271
476,109
2972,240
5127,452
2684,476
291,141
740,161
2413,363
4509,551
24843,1062
