len,uniqs
3,3
8,8
5,5
6,6
7,6
11,11
23,23
86,64
31,28
55,36
70,40
42,42
4,4
151,96
15,15
32,31
17,17
19,19
4,4
4,4
7,7
35,29
6,6
9,9
20,20
57,50
26,22
5,5
44,34
28,28
5,5
7,6
16,16
19,19
15,15
9,9
9,9
6,5
39,39
8,8
61,34
38,27
6,6
2,2
10,10
21,21
16,14
6,6
3,3
83,45
198,117
4,4
25,25
6,6
6,6
4,4
53,36
8,8
4,4
45,37
263,130
19,12
2,2
7,7
26,21
28,22
5,5
1,1
6,6
7,7
11,10
38,25
7,7
25,14
9,9
9,9
12,9
159,108
164,81
19,19
15,15
9,9
11,11
4,4
4,4
15,14
56,55
12,12
21,18
10,10
67,45
7,7
12,12
40,40
54,42
183,92
5,5
10,10
6,6
13,13
14,14
26,26
98,65
22,22
4,4
14,14
43,24
25,25
66,57
6,6
92,35
10,10
7,7
3,3
56,34
7,7
4,4
29,29
18,17
81,63
30,30
37,37
36,35
42,37
18,18
5,5
2,2
21,20
1,1
12,12
88,57
35,24
11,11
2,2
3,3
9,9
27,26
43,29
27,21
11,10
15,10
11,11
11,11
21,18
23,23
5,5
16,16
45,32
14,14
30,26
11,11
16,16
2,2
11,11
8,8
138,92
9,9
324,135
17,16
8,8
19,19
15,15
10,10
6,6
3,3
26,20
5,5
1,1
19,19
3,3
20,20
58,52
9,9
52,41
20,15
125,65
17,17
14,10
12,11
33,30
12,10
8,8
14,14
92,68
6,6
26,26
38,38
53,42
18,17
23,23
9,9
3,3
11,11
5,5
39,28
25,24
12,12
10,10
40,34
21,19
12,12
48,39
104,58
170,82
13,9
28,16
14,14
227,117
2,2
16,16
20,16
4,4
1,1
31,23
5,5
16,12
83,58
13,13
15,15
8,8
275,189
19,16
374,136
239,148
45,36
5,5
4,4
8,8
11,11
114,67
9,9
14,8
52,37
8,8
6,6
2,2
92,62
32,32
12,12
104,73
23,23
131,87
8,8
31,26
14,14
10,10
31,20
10,10
69,52
5,5
2,2
67,53
22,22
2,2
11,11
44,43
52,37
4,4
12,12
15,15
39,25
29,27
325,187
27,20
7,5
31,31
30,30
35,35
3,3
11,11
50,34
8,8
4,4
1,1
22,19
7,7
46,46
3,3
4,4
12,11
8,8
43,43
13,13
72,57
71,41
81,74
10,10
80,79
42,36
10,10
23,23
18,18
5,5
86,68
8,8
9,9
8,8
9,7
7,7
4,4
19,15
61,54
19,19
86,39
73,51
6,6
33,27
38,38
3,3
8,8
3,3
10,6
10,10
14,14
3,3
8,8
30,27
9,9
7,7
6,6
8,8
67,59
10,9
9,9
18,18
9,9
131,86
28,24
26,26
3,3
80,61
34,22
103,75
914,276
61,39
131,61
171,109
11,11
35,28
13,13
6,6
38,37
5,5
19,15
25,25
5,5
16,16
8,8
119,78
50,26
7,7
34,31
8,8
401,185
48,42
122,73
16,16
46,29
51,50
1,1
34,29
5,5
24,24
2,2
32,23
80,54
4,4
7,7
12,12
144,105
4,4
18,18
4,4
4,3
8,8
4,4
6,6
12,10
4,4
16,15
16,16
22,18
8,8
4,4
23,23
26,14
10,10
7,7
34,28
70,51
14,14
16,16
49,37
2,2
1,1
66,58
20,20
138,80
5,5
12,12
26,19
4,4
8,8
5,5
11,11
139,77
3,3
15,15
8,8
13,13
5,5
53,34
28,22
127,99
3,3
43,31
49,42
17,15
55,47
5,5
8,8
18,18
69,47
14,14
8,8
37,31
4,4
7,7
38,29
11,11
5,5
15,11
35,24
5,5
28,28
51,47
126,84
11,9
18,18
7,7
14,13
1,1
114,77
11,11
68,44
13,13
4,4
3,3
5,4
11,11
20,20
32,32
3,1
18,17
40,26
12,12
9,9
119,93
8,8
17,14
4,4
35,27
10,10
34,19
25,25
47,44
30,24
6,6
6,6
56,46
60,47
14,12
9,9
8,8
22,22
15,13
3,3
19,19
9,9
8,6
11,11
26,26
6,6
5,5
27,27
17,17
11,9
53,43
32,32
60,47
31,21
12,12
31,24
25,25
61,40
23,13
4,4
7,7
8,8
357,191
13,13
15,15
13,13
24,23
138,104
32,32
31,25
3,3
17,17
85,64
2,2
70,47
41,31
83,80
2,2
18,18
26,26
127,69
18,16
6,6
15,15
6,6
17,14
41,35
20,15
13,13
10,10
360,181
26,20
15,15
6,6
8,8
11,11
27,19
10,10
7,7
17,17
54,45
11,10
47,43
8,8
21,21
33,32
8,8
12,12
72,47
159,95
82,68
9,9
64,48
4,4
13,13
1,1
6,6
104,76
25,21
35,32
8,8
18,18
9,9
70,51
10,10
2,2
23,19
4,4
94,50
86,75
11,11
7,7
85,64
10,8
6,6
